Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
DECA ECOMMERCE,DEFENSE/DEFENSE COMMISSARY AGENCY,DeCAeCommerceRFI2012,0,TBD,Information Technology,Undetermined,541512,5
DEFENSE ACQUISITION CHALLENGE PROGRAM BAA,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,DACFY12BAA0001,0,TBD,Research & Development,Full and Open / Unrestricted,541712,1
DEFENSE BUSINESS MARKET INTELLIGENCE,DEFENSE/DEFENSE SECURITY COOPERATION AGENCY,STR11MR0001B,0,TBD,Data Management/Administration,Undetermined,541990,1
DEFENSE MEDICAL LOGISTICS STANDARD SUPPORT FULL SPECTRUM SUPPORT BLANKET PURCHASE AGREEMENT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,5821,Blanket Purchase Agreement,IT Professional Services,Other,541513,1
DEFENSE MESSAGE SYSTEM  AND NATIONAL GATEWAY CENTER SUPPORT SYSTEM SOFTWARE AND SECURITY ENGINEERING SERVICES,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,MAC0042,3047,Cost Plus Fixed Fee,Network Support / Administration,Sole Source,541712,4
DEFENSE RETIREMENT ANNUITANT SYSTEM,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470114R0010,49000,Firm Fixed Price,IT Professional Services,Full and Open / Unrestricted,541511,4
DEFENSE SYSTEMS INFORMATION ANALYSIS CENTER BASIC CENTER OPERATIONS,DEFENSE/DEFENSE RESEARCH AND ENGINEERING,FA807512R0004,42147,Cost Plus Fixed Fee,Base Operations / Facilities Management,Small Bus Set-Aside,541712,3
DEFENSE THREAT ANALYSIS INFORMATION CENTER,DEFENSE/DEFENSE THREAT REDUCTION AGENCY,HDTRA114R0005,25370,Indefinite Delivery Indefinite Quantity,Management Consulting,Small Bus Set-Aside,541712,1
DEFENSE TRANSPORTATION REGULATION SUPPORT FOR THE STRATEGY POLICY PROGRAMS AND LOGISTICS DIRECTORATE,DEFENSE/US TRANSPORTATION COMMAND,RFQ662630,1448,Firm Fixed Price,Professional Services,Other,541611,1
DEFENSE TRAVEL SYSTEM HOSTING EFFORT,DEFENSE/DEFENSE LOGISTICS AGENCY,SP4701130001,0,Firm Fixed Price,Defense & Aerospace,Undetermined,541512,3
DEFENSE TRAVEL SYSTEM SUSTAINMENT HOSTING AND DEVELOPMENT,DEFENSE/DEFENSE LOGISTICS AGENCY,RFQ790148,143083,Firm Fixed Price,Software Development,Full and Open / Unrestricted,541512,2
DELIBERATE AND CRISIS ACTION PLANNING AND EXECUTION SEGMENT AND LOGISTICS FEASIBILITY ANALYSIS CAPABILITY SYSTEM,AIR FORCE/AIR FORCE MATERIEL COMMAND,,70000,Cost Plus Fixed Fee,Data Management/Administration,"Small Bus Set-Aside,Other",541511,1
DEPLOYED AND ONSITE ANALYTICAL SUPPORT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HQ068214R0002,12646,Indefinite Delivery Indefinite Quantity,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541614,3
DEPLOYMENTS OPERATIONAL AND FIELD SITE SUPPORT,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470614Q0001,8144,Firm Fixed Price,IT Professional Services,Sole Source,541519,2
DEPOT MAINTENANCE ACCOUNTING AND PRODUCTION SYSTEM INFORMATION TECHNOLOGY AND SYSTEM SUSTAINMENT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA860411R7008,5124,Cost Reimbursement,Enterprise Applications,Full and Open / Unrestricted,541519,2
DEPOT MAINTENANCE CONSOLIDATED OPERATIONAL DATABASE SUPPORT SERVICES,AIR FORCE/AIR FORCE MATERIEL COMMAND,R2382,2592,TBD,IT Professional Services,Sole Source,541511,1
DEPUTY UNDER THE SECRETARY OF THE ARMY ADVISORY AND ASSISTANCE SERVICES,ARMY/ASST SEC FOR FINANCIAL MANAGEMENT AND COMPTROLLER,W91WAW11R3402,28500,Cost Plus Fixed Fee,Management Consulting,Other,541618,3
DEVELOPMENT PLANNING DIRECTORATE SETA SUPPORT,AIR FORCE/AIR FORCE SPACE COMMAND,,4358,Time and Materials,Professional Services,Other,541712,1
DIGITAL AND SOCIAL MEDIA COMMUNICATIONS,OVERSEAS PRIVATE INVESTMENT CORP,TBD,600,Time and Materials,IT Professional Services,Full and Open / Unrestricted,541511,5
DIGITAL ASSET MANAGEMENT SYSTEM,DEFENSE/US SPECIAL OPERATIONS COMMAND,,70,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,518210,5
DIMINISHING MANUFACTURING SOURCES AND MATERIAL SHORTAGES ANALYSIS AND RESOLUTION,AIR FORCE/AIR FORCE MATERIEL COMMAND,DMSMS13FEB2012,8200,TBD,Administrative / Logistics / Support,Undetermined,541330,1
DIRECTED ANALYSIS SUPPORT SERVICES FOR JIEDDO,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,157000,Cost Plus Fixed Fee,Research & Development,8(a) Set-Aside,541712,1
DISA ENTERPRISE PROCUREMENT SYSTEM SUPPORT,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,PL831100011,912,TBD,Administrative / Business Tools,Sole Source,541519,4
DISTRIBUTION AND WAREHOUSE ASSESSMENTS,DEFENSE/DEFENSE LOGISTICS AGENCY,RFIDistributionWarehouseAssessment,0,TBD,Administrative / Logistics / Support,Undetermined,541330,2
DISTRIBUTION DATA MANAGEMENT SUPPORT SERVICES,DEFENSE/US TRANSPORTATION COMMAND,,3700,Firm Fixed Price,Data Management/Administration,Undetermined,541611,1
DISTRIBUTION PROCESS OWNER CHANGE MANAGEMENT AND JOINT LOGISTICIAN DEVELOPMENT SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,RFQ688447,8000,Firm Fixed Price,Management Consulting,Other,541611,2
DLA DEFENSE CRITICAL INFRASTURCTURE PROGRAM,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470312R0007,1140,Firm Fixed Price,Risk Management,Full and Open / Unrestricted,541611,5
DLA J6 ENTERPRISE IT SOLUTIONS,DEFENSE/DEFENSE LOGISTICS AGENCY,DLAJ6ENTERPRISETECHNOLOGYSERVI,482000,Firm Fixed Price,IT Professional Services,Undetermined,541519,4
DOCTRINE LITERATURE SUPPORT,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,,704,Firm Fixed Price,Professional Services,Small Bus Set-Aside,541690,5
DOCUMENT MANAGEMENT SOFTWARE SYSTEM MAINTENANCE,ARMY/ARMY MATERIEL COMMAND,W911RP11R0020,245,Firm Fixed Price,Document & Content Management,Small Bus Set-Aside,541513,4
DOD ENTERPRISE SOFTWARE INITIATIVE COTS AND SOA SYSTEMS INTEGRATION SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,N0010409RQ190,10000000,Cost Reimbursement,Systems Integration,Full and Open / Unrestricted,541511,1
DOD LOGISTICS MAINTENANCE AND SUPPLY SUPPORT,NAVY/NAVAL AIR SYSTEMS COMMAND,,250080,Firm Fixed Price,Maintenance Support Services,Full and Open / Unrestricted,541611,1
DOD VISITOR PROGRAM MANAGEMENT SUPPORT,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,RFIDODVisitor,0,TBD,Information Technology,Small Bus Set-Aside,541611,2
DSCA METRICS ANALYSIS,DEFENSE/DEFENSE SECURITY COOPERATION AGENCY,HQ001314R0005,243,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,1
EARNED VALUE MANAGEMENT SOFTWARE,AIR FORCE/AIR FORCE SPACE COMMAND,FA281614P0003,198,Cost Reimbursement,Program/Project Management,Small Bus Set-Aside,511210,1
ECOMMERCE OPERATIONAL SYSTEMS SUPPORT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HT940212R0003,32325,Cost Reimbursement,IT Professional Services,Full and Open / Unrestricted,541512,1
ECONOMIC ANALYSIS SUPPORT SERVICES,HOMELAND SECURITY/US CITIZENSHIP AND IMMIGRATION SERVICES,HSSCCG13I00003,0,TBD,Financial Services,Small Bus Set-Aside,541690,2
ELECTRONIC RECORDS MANAGEMENT,INTERIOR/OFFICE OF THE CIO,ANN100168,0,TBD,Data Management/Administration,Small Bus Set-Aside,541512,4
ELECTRONIC SYSTEMS CENTER ENGINEERING IT TESTING EVALUATION,AIR FORCE/AIR FORCE MATERIEL COMMAND,4QDC57110096,8566,Cost Plus Fixed Fee,Quality Assurance / Testing / IV&V,Other,541519,1
EMERGENT II RESEARCH AND DEVELOPMENT BAA,DEFENSE/DEFENSE LOGISTICS AGENCY,BAA000214,0,Cost Plus Fixed Fee,Research & Development,Full and Open / Unrestricted,541712,1
EMPLOYEE ASSISTANCE PROGRAM,AGRICULTURE/FOREST SERVICE,TBD,450,Firm Fixed Price,Administrative / Logistics / Support,Full and Open / Unrestricted,624190,5
EMS DECISION AID PRODUCTION TOOL,AIR FORCE/AIR FORCE INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE AGENCY,FA702211R0029,2300,Cost Plus Fixed Fee,Management Consulting,Small Bus Set-Aside,541620,5
ENGINEERING AND PROGRAM MANAGEMENT SUPPORT FOR C4ISR EXPERIMENTATION,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,N0002412R3012,69000,Cost Plus Fixed Fee,Professional Services,Small Bus Set-Aside,541330,1
ENGINEERING AND TECHNICAL SUPPORT SERVICES,NAVY/NAVAL SEA SYSTEMS COMMAND,N6660411R4267,150,Firm Fixed Price,Marine Engineering and Naval Architecture,Full and Open / Unrestricted,541330,1
ENGINEERING ASSESSMENT ANALYSIS FOR PERFORMANCE STANDARDS AND STAFFING MODEL GUIDELINES AND SYSTEMS,DEFENSE/DEFENSE LOGISTICS AGENCY,RFIPerformanceStaffingAssessment,0,TBD,Professional Services,Undetermined,541330,2
ENGINEERING SERVICES FOR DATA REDUCTION AND ANALYSIS TOOLS,ARMY/ARMY TEST AND EVALUATION COMMAND,,0,Firm Fixed Price,Engineering / Scientific,Small Bus Set-Aside,511199,3
ENHANCED ARMY GLOBAL LOGISTICS ENTERPRISE FOR EMERGENT AND SPECIAL PROJECT REQUIREMENTS STEP 2,ARMY/ARMY MATERIEL COMMAND,W52P1J12R0198,0,Basic Ordering Agreement,Professional Services,Full and Open / Unrestricted,561210,2
ENHANCED ARMY GLOBAL LOGISTICS ENTERPRISE PROGRAM,ARMY/ARMY MATERIEL COMMAND,W52P1J12R0076,23500000,Cost Reimbursement,Professional Services,Other,561210,1
ENHANCED ARMY GLOBAL LOGISTICS ENTERPRISE PROGRAM SMALL BUSINESS,ARMY/ARMY MATERIEL COMMAND,W52P1J10RXXXX,0,Cost Plus Award Fee,Administrative / Logistics / Support,Small Bus Set-Aside,561210,5
ENHANCED SOLUTIONS FOR THE INFORMATION TECHNOLOGY ENTERPRISE,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40214R0002,6000000,Cost Plus Fixed Fee,Systems Integration,Full and Open / Unrestricted,541519,2
ENTERPRISE ACQUISITION GATEWAY FOR LEADING EDGE II UMBRELLA,HOMELAND SECURITY/DIRECTORATE FOR MANAGEMENT,HSHQDC11R10001,22000000,Indefinite Delivery Indefinite Quantity,IT Professional Services,Other,541519,1
ENTERPRISE ADMINISTRATIVE SUPPORT SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003413T0028,0,Blanket Purchase Agreement,Professional Services,Service Disabled Veteran Owned Small Business,561110,2
ENTERPRISE ARCHITECTURE AND PORTFOLIO MANAGEMENT PROCESS,ARMY/ARMY MATERIEL COMMAND,,2788,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541519,3
ENTERPRISE ARCHITECTURE ENTERPRISE ENGINEERING,DEFENSE/US TRANSPORTATION COMMAND,HTC71113RD003,88000,Labor Hour,Network Support / Administration,8(a) Set-Aside,541519,1
ENTERPRISE ARCHITECTURE SYSTEMS ASSURANCE TEST AND EVALUATION,HOMELAND SECURITY/IMMIGRATION AND CUSTOMS ENFORCEMENT,RFQ657629,20000,Task Order,IT Professional Services,Other,541513,2
ENTERPRISE CONTENT MANAGEMENT SERVICES,ARMY/SECRETARY OF THE ARMY,W91WAW12R0059,0,Firm Fixed Price,Maintenance Support Services,Small Bus Set-Aside,541512,4
ENTERPRISE DATA CENTER SUPPORT SERVICES,HOMELAND SECURITY/CUSTOMS AND BORDER PROTECTION,20069324,167602,Blanket Purchase Agreement,Platform/Data Center Operations,Other,,1
ENTERPRISE INFORMATION TECHNOLOGY SERVICES DIRECTORATE SERVICE DELIVERY SUPPORT,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003414R0046,0,TBD,Information Technology,Undetermined,541519,2
ENTERPRISE MANAGEMENT DECISION SUPPORT INTEGRATION SERVICES,ARMY/ARMY MATERIEL COMMAND,W15P7T11RS731,0,Cost Reimbursement,IT Professional Services,Service Disabled Veteran Owned Small Business,561210,2
ENTERPRISE PERFORMANCE BASED LOGISTICS,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,SPRPA112R006Y,0,TBD,Administrative / Logistics / Support,Undetermined,336413,2
ENTERPRISE PERFORMANCE MANAGEMENT STRATEGY SUPPORT,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003413R0021,16461,Firm Fixed Price with Level of Effort,Administrative / Logistics / Support,"8(a) Set-Aside,Sole Source",541611,2
ENTERPRISE PROGRAM MANAGEMENT OFFICE SUPPORT,DEFENSE/DEFENSE COMMISSARY AGENCY,RFQ751879,0,Indefinite Delivery Indefinite Quantity,Professional Services,Full and Open / Unrestricted,541611,2
ENTERPRISE SENIOR INFORMATION TECHNOLOGY ADVISORS CONTRACT SUPPORT,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40211R0091,75000,Firm Fixed Price with Level of Effort,Engineering / Scientific,Small Bus Set-Aside,541519,3
ENTERPRISE SOURCING GROUP MISSION SUPPORT MANPOWER,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA805113RFIMSM,4000,Labor Hour,"Management, Scientific, and Technical Consulting Services",Undetermined,541820,1
ENTERPRISE SUPPORT FOR ADMINISTRATIVE SERVICES PROGRAM,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,HM028514R0001,102000,Firm Fixed Price with Level of Effort,Administrative / Logistics / Support,Small Bus Set-Aside,561110,2
ENTERPRISE TINKER COMMODITY COUNCIL MARKET RESEARCH PERFORMANCE BASED LOGISTICS,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA810913R1001,0,TBD,Administrative / Logistics / Support,Undetermined,541614,1
ENTERPRISE TRANSPORT MANAGEMENT FOR THE INFORMATION TECHNOLOGY AGENCY,ARMY/SECRETARY OF THE ARMY,,16941,Cost Plus Fixed Fee,Information Technology,"Full and Open / Unrestricted,Other",541519,4
ENTERPRISE WIDE LOGISTICS MANAGEMENT SOLUTIONS,AIR FORCE/AIR FORCE MATERIEL COMMAND,,0,TBD,Administrative / Logistics / Support,Undetermined,,1
ESD STANDARD OPERATING ENVIRONMENT,DEFENSE/DEFENSE INFORMATION SYSTEMS AGENCY,RFQ850029,28500,Cost Reimbursement,IT Professional Services,Full and Open / Unrestricted,541618,2
EW ENGINEERING ANALYSIS AND MODELING SUPPORT,DEFENSE/US STRATEGIC COMMAND,FA460014C0001,2364,TBD,Administrative / Logistics / Support,8(a) Set-Aside,541330,1
FACILITATION EFFORTS FOR WASHINGTON HEADQUARTERS SERVICE PLANNING EVALUATION DIRECTORATE,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,,3000,Blanket Purchase Agreement,Outsourcing,Service Disabled Veteran Owned Small Business,561210,1
FACILITIES SUPPORT SERVICES FOR THE  GENERAL SERVICES OFFICE,STATE/FOREIGN SERVICE INSTITUTE (CODE FSI),SFSIAQ11R0041,682,Firm Fixed Price,Outsourcing,Service Disabled Veteran Owned Small Business,561210,4
FEDERAL INFORMATION PROCESSING SUPPORT SERVICES,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,,20500,Firm Fixed Price,IT Professional Services,8(a) Set-Aside,541512,2
FORCE MANAGEMENT SUPPORT SERVICES,ARMY/CHIEF OF STAFF OF THE ARMY,W91WAW10DFMSS,50000,Firm Fixed Price,Administrative / Logistics / Support,Full and Open / Unrestricted,541611,5
FORCE MOVEMENT AND DEPLOYMENT PROCESS IMPROVEMENT SUPPORT,HOMELAND SECURITY/US COAST GUARD,HSCG2310I2301,0,TBD,Data Management/Administration,Undetermined,541614,1
FREEDOM OF INFORMATION ACT AND DECLASSIFICATION SERVICES,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40212R0007,7500,TBD,Data Management/Administration,8(a) Set-Aside,541990,1
FUSION CENTER OPERATIONS SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71114QD006,9110,Cooperative Agreement,Administrative / Logistics / Support,Small Bus Set-Aside,541614,1
FWF SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,RFQ698687,30000,TBD,Management Consulting,Other,561210,3
FY13 ALTERNATIVE ENERGY INITIATIVES BAA,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N3943013R1267,0,TBD,Research & Development,Undetermined,541712,1
G3 OPERATIONS DIVISION INTELLIGENCE TRAINING AND READINESS SUPPORT SERVICES,ARMY/ARMY INTELLIGENCE AND SECURITY COMMAND ,,89450,Cost Plus Fixed Fee,Education / Training,Full and Open / Unrestricted,611430,3
G4 LOGISTICS PROCESS AND ANALYTICAL SUPPORT,ARMY/CHIEF OF STAFF OF THE ARMY,W909MY13RA001,0,TBD,Administrative / Logistics / Support,Undetermined,541990,3
G8 FINANCIAL MANAGEMENT SUPPORT SERVICES,ARMY/ARMY MATERIEL COMMAND,W52P1J13R0107,0,TBD,Financial Services,Full and Open / Unrestricted,541618,1
GEN III DOD PHARMACEUTICAL REVERSE DISTRIBUTION PROGRAM,DEFENSE/DEFENSE LOGISTICS AGENCY,SPM2DX12R0001,46159,Firm Fixed Price,Professional Services,Full and Open / Unrestricted,493110,1
GENESIS IV LOGISTICS ENGINEERING AND FACILITIES SUPPORT,ARMY/ARMY INTELLIGENCE AND SECURITY COMMAND ,W911W4GENESISIV,0,Cost Plus Award Fee,Administrative / Logistics / Support,Undetermined,541330,1
GEX MESSAGING AND DATA TRANSFORMATION SUPPORT,DEFENSE/DEFENSE LOGISTICS AGENCY,RFIGEXMessagingandDataTransformationSupport,0,Firm Fixed Price,IT Professional Services,Undetermined,511210,1
GLOBAL BUSINESS SUPPORT AREA I,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0024413R0047,730000,Cooperative Agreement,Professional Services,Small Bus Set-Aside,561320,2
GLOBAL BUSINESS SUPPORT AREAS II THROUGH IV,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0024413R0061,730000,Cooperative Agreement,Outsourcing,Small Bus Set-Aside,561210,1
GLOBAL BUSINESS SUPPORT UMBRELLA REPORT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,730000,Cooperative Agreement,Professional Services,Small Bus Set-Aside,561320,1
GLOBAL DISTRIBUTION PLANNING AND CAPABILITIES DEVELOPMENT,DEFENSE/US TRANSPORTATION COMMAND,,5400,TBD,Management Consulting,Undetermined,541614,1
GLOBAL ENGINEERING INTEGRATION AND TECHNICAL ASSISTANCE 2011 PROGRAM IN SUPPORT OF AFCEC WORLDWIDE MISSIONS,AIR FORCE/AIR FORCE CIVIL ENGINEER CENTER,FA890312R8000,950000,Cost Plus Fixed Fee,IT Professional Services,Small Bus Set-Aside,541620,2
GLOBAL IT MODERNIZATION PROGRAM ENGINEERING PRODUCTION CONTROL AND DELIVERY,STATE/BUREAU OF INFORMATION RESOURCE MANAGEMENT (CODE IRM),,125000,Task Order,Systems Integration,Other,541614,5
GLOBAL LOGISTICS AND SUPPORT SERVICES IN SUPPORT OF LOGISTICS CIVIL AUGMENTATION PROGRAM,ARMY/ARMY MATERIEL COMMAND,W52P1J11R0068,135000,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541614,1
GLOBAL POSITIONING SYSTEM SURVEY,AIR FORCE/AIR COMBAT COMMAND,F2E3CS1130AC05,0,Firm Fixed Price,GPS Equipment,Woman Owned Small Business Set Aside,541370,5
GRAPHIC DESIGNS,GENERAL SERVICES ADMINISTRATION/PUBLIC BUILDINGS SERVICE,,3750,Firm Fixed Price,Interior design Services,"Small Bus Set-Aside,Full and Open / Unrestricted",541430,5
HELP DESK SUPPORT SERVICES FOR THE DEFENSE SUPPLY CENTER RICHMOND,DEFENSE/DEFENSE LOGISTICS AGENCY,RFQ632984,11707,Task Order,Help Desk Services,Other,541512,5
HOMELAND SECURITY INFORMATION NETWORK PROGRAM MANAGEMENT SUPPORT,HOMELAND SECURITY,HSHQDC11R00144,7074,Time and Materials,Program/Project Management,Hubzone,541519,1
HOMELAND SECURITY STUDIES AND ANALYSIS INSTITUTE,HOMELAND SECURITY/OFFICE OF THE SECRETARY,,268711,Cost Plus Fixed Fee,Planning & Analysis,Full and Open / Unrestricted,541712,2
HP SYSTEM SUPPORT,AIR FORCE/AIR EDUCATION AND TRAINING COMMAND,F2XHA71147A002,56,Firm Fixed Price,Help Desk Services,Small Bus Set-Aside,541511,1
HQAMC AND A6 INTEGRATED PROGRAM MANAGEMENT,AIR FORCE/AIR MOBILITY COMMAND,HQAMCA6INTEGRATEDPROGRAMMAN,75000,Firm Fixed Price,Project Management,Undetermined,541611,5
HQMC USMC LOGISTICS POLICY DISTRIBUTION BRANCH SUPPORT SERVICES,MARINE CORPS/INSTALLATIONS AND LOGISTICS DEPARTMENT,,10000,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Undetermined,541611,4
HR WORKFORCE SUPPORT SERVICES,HOMELAND SECURITY/US COAST GUARD,,5000,Blanket Purchase Agreement,Administrative / Logistics / Support,Woman Owned Small Business Set Aside,541611,5
HUMAN RESOURCES AND MULTIPLE PERSONNEL FUNCTIONS,AIR FORCE/AIR COMBAT COMMAND,FA489012R0019,26037,Cost Reimbursement,Administrative / Logistics / Support,8(a) Set-Aside,561110,5
HUMAN RESOURCES DIRECTORATE ADJUTANT GENERAL SUPPORT SERVICES FORT LEE VIRGINIA,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,HRDSOURCESSOUGHT1,4099,Firm Fixed Price,IT Professional Services,Sole Source,561110,1
HYBRID INFORMATION TECHNOLOGY SERVICES FOR STATE II,STATE/BUREAU OF INFORMATION RESOURCE MANAGEMENT (CODE IRM),SAQMMA14HITSSII,2033654,Blanket Purchase Agreement,IT Professional Services,"8(a) Set-Aside,SDB Set-Aside,Small Bus Set-Aside,Hubzone,Service Disabled Veteran Owned Small Business,Woman Owned Small Business Set Aside,Economically Disadvantaged Women Owned Small Business",541519,5
ICIS MANAGEMENT AND PROFESSIONAL SUPPORT SERVICES,NAVY/NAVAL AIR SYSTEMS COMMAND,N0002413R3432,39874,Cost Plus Fixed Fee,IT Professional Services,Small Bus Set-Aside,541330,1
INDIVIDUAL AUGMENTATION MANAGEMENT SUPPORT SERVICES FOR THE PERSONNEL READINESS DIVISION,DEFENSE/JOINT CHIEFS OF STAFF,,620,Cost Reimbursement,Planning & Analysis,Small Bus Set-Aside,541611,1
INFORMATION AND DATA MANAGEMENT SUPPORT SERVICES REQUIREMENT 3,ARMY/ARMY MATERIEL COMMAND,W31P4Q11R0190,43359,Cost Plus Fixed Fee,Data Management/Administration,Small Bus Set-Aside,541519,4
INFORMATION ASSURANCE SERVICES REQUIREMENT FOR SUPPORT OF THE NAVY ENTERPRISE RESOURCE PROGRAM NAVY,"NAVY/ASST SEC OF THE NAVY (RESEARCH, DEVELOPMENT AND ACQUISITION)",N0002412R3423,4753,Cost Plus Fixed Fee,Professional Services,Service Disabled Veteran Owned Small Business,541511,4
INFORMATION ASSURANCE SUPPORT AND MANAGEMENT SERVICES FOR DEFENSE DISTRIBUTION CENTER,DEFENSE/DEFENSE LOGISTICS AGENCY,,998,Firm Fixed Price,Security,Small Bus Set-Aside,541513,1
INFORMATION ASSURANCE SUPPORT FOR THE UNITED STATES MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,ARMY/ARMY MATERIEL COMMAND,W81GYE11R0004,0,Firm Fixed Price,Network Security,Small Bus Set-Aside,541512,4
INFORMATION INTEGRATION AND DATA EXPLOITATION FOR DESIGN DEVELOPMENT DEMONSTRATION AND INTEGRATION SMALL BUSINESS SET ASIDE,ARMY/ARMY SPACE & MISSILE DEFENSE COMMAND/ARMY FORCES STRATEGIC COMMAND,W9113M13R0011,504000,Cost Plus Award Fee,IT Professional Services,Small Bus Set-Aside,541712,1
INFORMATION KNOWLEDGE AND DATA MANAGEMENT SUPPORT SERVICES AND SOLUTIONS,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",,0,TBD,Business Intelligence / Knowledge Management,Small Bus Set-Aside,541519,4
INFORMATION SYSTEMS ENGINEERING TO PROVIDE LOCAL AREA NETWORK WIDE AREA NETWORK SOFTWARE DEVELOPMENT SUPPORT AND HELP DESK TECHNICAL SUPPORT SERVICES,ARMY/SECRETARY OF THE ARMY,W91WAW12R0077,650,Firm Fixed Price,Network/Telecom Services,Sole Source,541519,4
INFORMATION SYSTEMS SECURITY POLICY AND CERTIFICATION AND COMPLIANCE SERVICES,TRANSPORTATION/FEDERAL AVIATION ADMINISTRATION,,7000,Firm Fixed Price,Risk Management,Small Bus Set-Aside,541519,4
INFORMATION TECHNOLOGY AND AUTOMATED DATA PROCESSING HARDWARE MAINTENANCE AND REPAIR,HOMELAND SECURITY/CUSTOMS AND BORDER PROTECTION,CBPSOL1120056725,40000,Firm Fixed Price,Information Technology,Small Bus Set-Aside,811212,4
INFORMATION TECHNOLOGY AND RELATED ENGINEERING SERVICES,STATE/BUREAU OF OVERSEAS BUILDING OPERATIONS (CODE OBO),SAQMMA11R0260,10000,Indefinite Delivery Indefinite Quantity,Maintenance Support Services,Small Bus Set-Aside,541511,4
INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS 3 SERVICES,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W52P1J13RXX3S,20000000,Indefinite Delivery Indefinite Quantity,IT Professional Services,"Small Bus Set-Aside,Full and Open / Unrestricted,Hubzone,Service Disabled Veteran Owned Small Business,Woman Owned Small Business Set Aside",541519,2
INFORMATION TECHNOLOGY PRODUCTION AND SERVICE SUPPORT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018911TZ068,5271,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541513,4
INFORMATION TECHNOLOGY SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0035,161,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541513,3
INFORMATION TECHNOLOGY SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,3019,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541513,1
INFORMATION TECHNOLOGY SUPPORT SERVICES FOR CIVILIAN STRATEGIC HUMAN CAPITAL PLANNING SUPPORT SYSTEM,ARMY/CHIEF OF STAFF OF THE ARMY,W9124D14X1705,14000,Firm Fixed Price,Planning & Analysis,Full and Open / Unrestricted,541511,2
INFORMATION TECHNOLOGY SUPPORT SERVICES FOR DLA INFORMATION OPERATIONS AT NEW CUMBERLAND PA SITED AT JACKSONVILLE FL,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330011R1008,341,Firm Fixed Price,IT Professional Services,8(a) Set-Aside,541512,1
